10.00,5.34
10.71,5.37
11.41,5.40
12.12,5.42
12.83,5.45
13.54,5.47
14.24,5.50
14.95,5.52
15.66,5.54
16.36,5.56
17.07,5.58
17.78,5.60
18.48,5.62
19.19,5.63
19.90,5.65
20.61,5.67
21.31,5.68
22.02,5.69
22.73,5.70
23.43,5.71
24.14,5.72
24.85,5.73
25.56,5.74
26.26,5.75
26.97,5.75
27.68,5.76
28.38,5.76
29.09,5.77
29.80,5.77
30.51,5.77
31.21,5.77
31.92,5.77
32.63,5.77
33.33,5.76
34.04,5.76
34.75,5.76
35.45,5.75
36.16,5.74
36.87,5.74
37.58,5.73
38.28,5.72
38.99,5.71
39.70,5.70
40.40,5.68
41.11,5.67
41.82,5.65
42.53,5.64
43.23,5.62
43.94,5.61
44.65,5.59
45.35,5.57
46.06,5.55
46.77,5.53
47.47,5.50
48.18,5.48
48.89,5.46
49.60,5.43
50.30,5.40
51.01,5.38
51.72,5.35
52.42,5.32
53.13,5.29
53.84,5.26
54.55,5.23
55.25,5.19
55.96,5.16
56.67,5.12
57.37,5.09
58.08,5.05
58.79,5.01
59.49,4.97
60.20,4.93
60.91,4.89
61.62,4.85
62.32,4.81
63.03,4.77
63.74,4.72
64.44,4.67
65.15,4.63
65.86,4.58
66.57,4.53
67.27,4.48
67.98,4.43
68.69,4.38
69.39,4.33
70.10,4.27
70.81,4.22
71.52,4.16
72.22,4.11
72.93,4.05
73.64,3.99
74.34,3.93
75.05,3.87
75.76,3.81
76.46,3.75
77.17,3.68
77.88,3.62
78.59,3.55
79.29,3.49
80.00,3.42
